SERIALNO|ID|BOENUMBER|BOEDATE|importAgency|portOfDischarge|IECODE|IENAME|ADCODE|BOEDETAILID|INVOICENO|INVOICESERIALNO|TERMSOFINVOICE|STATUS|ADJUSTMENTREFNO|ADJUSTMENTDATE|ADJUSTMENTAMOUNT|CLOSEOFBILLINDICATOR|ADJUSTMENTINDICATOR|DOCUMENTNUMBER|DOCUMENTDATE|INVOICEPORTOFDISCHARGE|APPROVEDBY|LETTERNUMBER|LETTERDATE|REMARKS
1|ff8081816f139566016f13a88c020264|5458409|26/10/2019|1|INDEL4|0895009447|SAMBHAAV MEDIA LTD.|0200849|ff8081816f139566016f13a88c020265|KD1002160A|1|FOB|PENDING_PAYMENT||||||||||||
2|ff8081816f139566016f13a88c020264|5458409|26/10/2019|1|INDEL4|0895009447|SAMBHAAV MEDIA LTD.|0200849|ff8081816f139566016f13a88c030266|KD1002160B|2|FOB|PENDING_PAYMENT||||||||||||
3|ff8081816f139566016f13a88c020264|5458409|26/10/2019|1|INDEL4|0895009447|SAMBHAAV MEDIA LTD.|0200849|ff8081816f139566016f13a88c030267|KD1002160C|3|FOB|PENDING_PAYMENT||||||||||||
4|ff8081816f139566016f13a88c020264|5458409|26/10/2019|1|INDEL4|0895009447|SAMBHAAV MEDIA LTD.|0200849|ff8081816f139566016f13a88c030268|KD1002160D|4|FOB|PENDING_PAYMENT||||||||||||
5|ff8081816f139566016f13a88c020264|5458409|26/10/2019|1|INDEL4|0895009447|SAMBHAAV MEDIA LTD.|0200849|ff8081816f139566016f13a88c030269|KD1002160E|5|FOB|PENDING_PAYMENT||||||||||||
6|ff8081816f139566016f13b11467109c|1002819|12/12/2019|2|INJSZ6|1307013805|LUNAWAT GEMS|0251165|ff8081816f139566016f13b11467109d|SAMPLE-06|6838626|FOB|PENDING_PAYMENT||||||||||||
7|ff8081816f139566016f13b1146810a0|1002788|09/12/2019|2|INJSZ6|1307013805|LUNAWAT GEMS|0251165|ff8081816f139566016f13b1146810a1|DN190020|6824153|CI|PENDING_PAYMENT||||||||||||
8|ff8081816f139566016f13b1146810a2|1002821|12/12/2019|2|INJSZ6|1307013805|LUNAWAT GEMS|0251165|ff8081816f139566016f13b1146810a3|48-19-20|6841048|FOB|PENDING_PAYMENT||||||||||||
9|ff8081816f139566016f13b1146810cd|1002656|25/11/2019|2|INJSZ6|1307013805|LUNAWAT GEMS|0251165|ff8081816f139566016f13b1146810ce|8162019|6788533|FOB|PENDING_PAYMENT||||||||||||
10|ff8081816f139566016f13b1146810d9|1002820|12/12/2019|2|INJSZ6|1307013805|LUNAWAT GEMS|0251165|ff8081816f139566016f13b1146810da|2062|6841203|CIF|PENDING_PAYMENT||||||||||||
