SERIALNO|ID|BILLOFENTRYNUMBER|BILLOFENTRYDATE|IECODE|IENAME|ADCODE|PORTOFDISCHARGE|IMPORTAGENCY|STATUS|EXTENSIONBY|EXTENSIONDATE|LETTERNUMBER|LETTERDATE
1|ff8081816f139566016f13b114c22cfc|2024818|29/10/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
2|ff8081816f139566016f13b114c22d0a|1004206|23/10/2019|3714002243|SHREE RAM EXPORTS|0250117|INSTV6|2|PENDING_PAYMENT||||
3|ff8081816f139566016f13b114bb2aba|2022967|05/10/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
4|ff8081816f139566016f13b114b42875|1002604|18/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
5|ff8081816f139566016f13b114b42889|2010939|20/11/2019|2414008041|M/S. PRIYANSI CORPORATION|0250579|INKDL6|2|PENDING_PAYMENT||||
6|ff8081816f139566016f13b1149f21ac|1002403|23/10/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
7|ff8081816f139566016f13b1149f21b0|1002417|25/10/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
8|ff8081816f139566016f13b114bf2c15|2023036|08/10/2019|APDPY8694N|YUHA TRADERS|0250644|INCJJ6|2|PENDING_PAYMENT||||
9|ff8081816f139566016f13b114bf2c19|1002561|13/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
10|ff8081816f139566016f13b11483191f|1002707|29/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
11|ff8081816f139566016f13b114841970|1002619|20/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
12|ff8081816f139566016f13b1146e1260|1002480|04/11/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
13|ff8081816f139566016f13b1146e127c|1002282|10/10/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
14|ff8081816f139566016f13b1147514d4|1002735|03/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
15|ff8081816f139566016f13b1149d2111|2011239|02/12/2019|2414008041|M/S. PRIYANSI CORPORATION|0250579|INKDL6|2|PENDING_PAYMENT||||
16|ff8081816f139566016f13b1149d2115|1002784|09/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
17|ff8081816f139566016f13b114761515|1002734|03/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
18|ff8081816f139566016f13b11466103b|1002467|01/11/2019|1307013805|LUNAWAT GEMS|0250011|INJSZ6|2|PENDING_PAYMENT||||
19|ff8081816f139566016f13b11466103f|2017850|31/10/2019|0588055743|M/S. MAGSONS EXPORTS|0250752|INMAA6|2|PENDING_PAYMENT||||
20|ff8081816f139566016f13b114600e30|2011104|25/11/2019|2414008041|M/S. PRIYANSI CORPORATION|0250579|INKDL6|2|PENDING_PAYMENT||||
21|ff8081816f139566016f13b11467109c|1002819|12/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
22|ff8081816f139566016f13b1146810a0|1002788|09/12/2019|1307013805|LUNAWAT GEMS|0251165|INJSZ6|2|PENDING_PAYMENT||||
